Currency Code,Currency Description,Total,EI,EI_XS,NEI_L,NEI_L_XS,NEI_S,DC
AA22A,Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy with CC,2771,3346,282,3127,235,586,514
AA22B,Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy without CC,1673,2806,297,2111,269,560,402
AA23A,Haemorrhagic Cerebrovascular Disorders with CC,2858,3985,307,3282,239,603,677
AA23B,Haemorrhagic Cerebrovascular Disorders without CC,1507,2748,287,2206,240,600,746
AA24A,Brain Tumours or Cerebral Cysts with CC,2319,3124,277,2853,239,557,581
AA24B,Brain Tumours or Cerebral Cysts without CC,1275,2593,281,2019,267,596,660
AA25A,Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC,1771,2730,289,2295,223,475,639
AA25B,Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC,922,2054,281,1985,243,489,444
AA26A,Muscular Balance Cranial or Peripheral Nerve Disorders Epilepsy or Head Injury with CC,1247,2394,312,1743,239,439,689
AA26B,Muscular Balance Cranial or Peripheral Nerve Disorders Epilepsy or Head Injury without CC,791,1986,372,1341,275,414,573
AA27A,Medical Care of Patients with Alzheimer's Disease with CC,3092,6746,289,4163,230,445,1340
AA27B,Medical Care of Patients with Alzheimer's Disease without CC,1409,11438,,3228,,445,395
AA28A,Motor Neuron Disease with CC,2892,2802,275,3845,259,459,385
AA28B,Motor Neuron Disease without CC,1819,2471,446,2879,238,624,453
AA29A,Transient Ischaemic Attack with CC,931,1064,293,1343,234,467,464
AA29B,Transient Ischaemic Attack without CC,559,462,298,1059,246,413,503
AA30A,Medical Care of Patients with Multiple Sclerosis with CC,1584,2691,233,2959,228,589,497
AA30B,Medical Care of Patients with Multiple Sclerosis without CC,559,1367,273,2179,287,491,474
AA31A,Headache Migraine or Cerebrospinal Fluid Leak with CC,697,1621,296,1176,246,430,461
AA31B,Headache Migraine or Cerebrospinal Fluid Leak without CC,551,1172,301,1026,258,409,403
AA32Z,Neuropsychology Tests with length of stay 2 days or less,307,2683,,,,436,403
AA33C,Conventional EEG EMG or Nerve Conduction Studies with length of stay 2 days or less 19 years and over,158,1496,,1766,,855,639
AA33D,Conventional EEG EMG or Nerve Conduction Studies with length of stay 2 days or less 18 years and under,403,1626,,1968,,1236,944
AA34C,Neurophysiological Operations 19 years and over,864,1382,452,2462,277,800,180
AA34D,Neurophysiological Operations 18 years and under,1547,1394,511,3221,296,711,542
AB02Z,Complex Major Pain Procedures,826,1413,,1051,,,833
AB03Z,Complex Pain Procedures,841,1712,256,3128,266,699,815
AB04Z,Major Pain Procedures,730,1606,311,2284,276,939,695
AB05Z,Intermediate Pain Procedures,601,3363,332,2827,282,746,599
AB06Z,Minor Pain Procedures,230,1409,318,1821,300,630,616
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,6460,8506,299,5733,647,572,4268
AB08Z,Pain Radiofrequency Treatments,755,1160,235,2410,235,723,742
AB09Z,Other Specified Pain Procedures,488,2520,512,2862,215,606,592
AB10Z,Unspecified Pain Procedures,502,1205,,4098,198,489,433
AB11Z,Cognitive Behavioural Therapy,428,8467,,10011,,,130
BZ01Z,Enhanced Cataract Surgery,1162,2053,322,2128,281,2316,1083
BZ02Z,Phacoemulsification Cataract Extraction and Lens Implant,865,1748,373,2806,214,1161,851
BZ03Z,Non-Phacoemulsification Cataract Surgery,1007,2270,288,2760,282,1265,997
BZ04Z,Lens Capsulotomy,177,555,341,1051,229,498,329
BZ05Z,Major Oculoplastics Procedures,1676,2264,436,6768,743,1682,1332
BZ06A,Intermediate Oculoplastics Procedures 19 years and over,969,1925,209,2054,236,889,967
BZ06B,Intermediate Oculoplastics Procedures 18 years and under,1126,2115,219,2153,524,1068,1062
BZ07A,Minor Oculoplastics Procedures 19 years and over,518,1720,197,2055,271,776,688
BZ07B,Minor Oculoplastics Procedures 18 years and under,881,1921,324,1415,519,1019,914
BZ08A,Major Orbits or Lacrimal Procedures 19 years and over,2507,2598,318,3611,276,1775,1498
BZ08B,Major Orbits or Lacrimal Procedures 18 years and under,2380,3266,,3976,521,1595,1243
BZ09A,Intermediate Orbits or Lacrimal Procedures 19 years and over,1361,2050,374,2528,284,1528,1395
BZ09B,Intermediate Orbits or Lacrimal Procedures 18 years and under,1478,2259,2624,4292,185,2196,1663
BZ10A,Minor Orbits or Lacrimal Procedures 19 years and over,353,1683,417,2036,348,806,688
BZ10B,Minor Orbits or Lacrimal Procedures 18 years and under,881,1717,155,2241,413,1086,891
BZ11Z,Major Cornea or Sclera Procedures,2510,2574,257,4113,346,2543,2203
BZ12Z,Intermediate Cornea or Sclera Procedures,1964,2525,307,3111,310,1650,1514
BZ13Z,Minor Cornea or Sclera Procedures,538,1931,259,3089,307,1386,903
BZ14A,Major Ocular Motility Procedures 19 years and over,1433,1991,662,1170,,,1394
BZ14B,Major Ocular Motility Procedures 18 years and under,1271,2197,,,,2629,1341
BZ15A,Intermediate Ocular Motility Procedures 19 years and over,1250,1790,213,1661,268,1307,1268
BZ15B,Intermediate Ocular Motility Procedures 18 years and under,1343,2488,,1630,361,1015,1295
BZ16A,Minor Ocular Motility Procedures 19 years and over,1233,1718,,,,1213,1232
BZ16B,Minor Ocular Motility Procedures 18 years and under,1206,1591,,,,1022,1196
BZ17Z,Major Glaucoma Procedures,1440,2106,276,1383,349,890,1455
BZ18Z,Intermediate Glaucoma Procedures,387,1772,436,2168,258,1149,1059
BZ19Z,Minor Glaucoma Procedures,293,929,194,1803,264,752,517
BZ20Z,Complex Vitreous Retinal Procedures,2144,2707,351,3073,299,2208,1706
BZ21Z,Major Vitreous Retinal Procedures,1349,2274,390,2678,389,1749,1445
BZ22Z,Intermediate Vitreous Retinal Procedures,269,2191,260,3083,328,1692,1194
BZ23Z,Minor Vitreous Retinal Procedures,150,1166,,4665,,871,402
BZ24A,Non-Surgical Ophthalmology with length of stay 2 days or more,1981,3139,237,2132,238,539,
BZ24C,Non-Surgical Ophthalmology with length of stay 1 day or less,212,847,,781,,432,346
CZ01S,Minor Mouth or Throat Procedures 18 years and under with CC,3287,2476,634,4826,368,938,691
CZ01T,Minor Mouth or Throat Procedures 18 years and under without CC,243,1057,397,993,357,897,626
CZ01V,Minor Mouth or Throat Procedures 19 years and over with CC,1817,1889,227,2579,274,661,565
CZ01Y,Minor Mouth or Throat Procedures 19 years and over without CC,149,1291,339,1231,299,626,571
CZ02S,Intermediate Mouth or Throat Procedures 18 years and under with CC,2237,1930,215,4202,222,1188,1055
CZ02T,Intermediate Mouth or Throat Procedures 18 years and under without CC,570,1717,537,1709,412,961,695
CZ02W,Intermediate Mouth or Throat Procedures 19 years and over with Major CC,3632,2773,210,4684,239,1000,987
CZ02X,Intermediate Mouth or Throat Procedures 19 years and over with Intermediate CC,1278,1486,326,1367,289,1026,948
CZ02Y,Intermediate Mouth or Throat Procedures 19 years and over without CC,202,1584,304,1763,281,887,868
CZ03U,Major Mouth or Throat Procedures 18 years and under,3223,3475,585,4169,319,1657,1304
CZ03V,Major Mouth or Throat Procedures 19 years and over with CC,3309,3432,328,3910,404,1566,1122
CZ03Y,Major Mouth or Throat Procedures 19 years and over without CC,1837,2836,339,2968,308,1189,1053
CZ04O,Complex Major Mouth or Throat Procedures with Major CC,21251,20873,298,22030,254,10497,20615
CZ04P,Complex Major Mouth or Throat Procedures with Intermediate CC,12102,11721,312,17336,238,4199,1544
CZ04Q,Complex Major Mouth or Throat Procedures without CC,6941,9042,474,8932,,,1390
CZ05S,Tonsillectomy 18 years and under with CC,1560,1555,508,1400,589,1303,1157
CZ05T,Tonsillectomy 18 years and under without CC,1314,1467,524,1116,375,917,1128
CZ05V,Tonsillectomy 19 years and over with CC,1351,1517,360,1050,284,702,1122
CZ05Y,Tonsillectomy 19 years and over without CC,1213,1445,278,829,316,728,1142
CZ07O,Exteriorisation of Trachea with Major CC,6727,8340,122,7790,240,2301,216
CZ07P,Exteriorisation of Trachea with Intermediate CC,4160,4108,285,5297,215,1816,932
CZ07Q,Exteriorisation of Trachea without CC,2069,4043,416,4860,230,1511,662
CZ08S,Minor Ear Procedures 18 years and under with CC,1115,1516,491,1979,135,1220,957
CZ08T,Minor Ear Procedures 18 years and under without CC,261,1287,284,1255,122,811,833
CZ08V,Minor Ear Procedures 19 years and over with CC,1038,1461,227,2675,244,648,761
CZ08Y,Minor Ear Procedures 19 years and over without CC,132,1409,249,1471,305,635,727
CZ09U,Intermediate Ear Procedures 18 years and under,1311,2717,492,1733,465,1102,1477
CZ09V,Intermediate Ear Procedures 19 years and over with CC,1321,2487,935,2148,248,717,956
CZ09Y,Intermediate Ear Procedures 19 years and over without CC,671,2826,280,1757,434,1013,991
CZ10U,Major Ear Procedures 18 years and under,2491,2833,642,2955,393,2087,1849
CZ10V,Major Ear Procedures 19 years and over with CC,2666,2855,357,2731,342,2576,1854
CZ10Y,Major Ear Procedures 19 years and over without CC,2303,2744,346,3181,296,1100,1957
CZ11Z,Complex Major Ear Procedures,2527,3661,579,4325,276,,1704
CZ12U,Minor Nose Procedures 18 years and under,509,1286,529,1441,403,823,755
CZ12V,Minor Nose Procedures 19 years and over with CC,1033,1610,336,1525,239,602,743
CZ12Y,Minor Nose Procedures 19 years and over without CC,403,1324,181,1275,293,601,670
CZ13U,Intermediate Nose Procedures 18 years and under,944,1704,393,1500,431,873,1154
CZ13V,Intermediate Nose Procedures 19 years and over with CC,1423,1673,368,1488,272,606,1193
CZ13Y,Intermediate Nose Procedures 19 years and over without CC,814,1596,300,946,349,660,1232
CZ14U,Major Nose Procedures 18 years and under,2154,2414,530,2907,381,2849,1549
CZ14V,Major Nose Procedures 19 years and over with CC,1860,2071,384,1562,359,918,1340
CZ14Y,Major Nose Procedures 19 years and over without CC,1707,2067,367,1721,322,993,1381
CZ15N,Complex Major Nose Procedures with CC,2738,3005,176,4415,336,1757,1145
CZ15Q,Complex Major Nose Procedures without CC,2050,2501,380,3152,523,1465,1185
CZ16N,Minor Maxillo-facial Procedures with CC,1735,1938,201,2669,294,1349,977
CZ16Q,Minor Maxillo-facial Procedures without CC,1177,1709,347,1914,377,1363,907
CZ17U,Intermediate Maxillo-facial Procedures 18 years and under,2372,2916,502,3244,478,1947,1205
CZ17V,Intermediate Maxillo-facial Procedures 19 years and over with CC,2889,3623,309,3256,292,2017,1168
CZ17Y,Intermediate Maxillo-facial Procedures 19 years and over without CC,1530,2472,315,2727,361,1927,1061
CZ18R,Major Maxillo-facial Procedures 19 years and over,4381,4513,272,3833,294,1475,1142
CZ18U,Major Maxillo-facial Procedures 18 years and under,4067,4162,580,5359,187,2051,1273
CZ19Z,Complex Major Maxillo-facial Procedures,7667,8296,380,8941,230,1505,1248
CZ20Z,Complex Major Head or Neck Procedures with Reconstruction,18837,18052,,47910,,,
CZ21V,Minor Head Neck and Ear Disorders with CC,794,1485,278,1139,231,410,423
CZ21Y,Minor Head Neck and Ear Disorders without CC,578,1685,531,1183,240,419,398
CZ22W,Intermediate Head Neck and Ear Disorders with Major CC,1477,2422,249,2043,233,486,410
CZ22X,Intermediate Head Neck and Ear Disorders with Intermediate CC,817,1723,337,1377,258,440,381
CZ22Y,Intermediate Head Neck and Ear Disorders without CC,716,1567,413,1224,278,472,402
CZ23W,Major Head Neck and Ear Disorders with Major CC,1976,3335,237,2452,260,474,517
CZ23X,Major Head Neck and Ear Disorders with Intermediate CC,962,1797,279,1485,271,421,333
CZ23Y,Major Head Neck and Ear Disorders without CC,729,1681,281,1246,297,413,267
CZ24O,Complex Major Head Neck and Ear Disorders with Major CC,4932,5435,257,4989,258,574,387
CZ24P,Complex Major Head Neck and Ear Disorders with Intermediate CC,2113,2111,262,3002,300,513,279
CZ24Q,Complex Major Head Neck and Ear Disorders without CC,1732,2104,288,2512,263,427,332
CZ25N,Cochlear Implants with CC,22690,22740,426,19383,415,,19566
CZ25Q,Cochlear Implants without CC,20191,20396,1432,,,,19499
CZ27Z,Fixture for Bone Anchored Hearing Aids,2471,3168,230,2994,387,,2640
CZ28Z,Fitting of Bone Anchored Hearing Aids,2692,2829,334,1079,251,543,2613
CZ30U,Minor Extraction of Tooth 18 years and under,456,1136,,1559,,844,507
CZ30Y,Minor Extraction of Tooth 19 years and over,240,1507,,1420,,652,381
CZ31U,Minor Dental Biopsy 18 years and under,318,1554,,1102,,913,572
CZ31Y,Minor Dental Biopsy 19 years and over,281,1356,,1438,,589,406
CZ32U,Dental Fitting or Insertion Procedures 18 years and under,181,2058,,682,,734,1080
CZ32Y,Dental Fitting or Insertion Procedures 19 years and over,157,1846,,1540,,425,694
CZ33U,Minor Dental Restoration Procedures 18 years and under,373,1633,,422,,742,634
CZ33Y,Minor Dental Restoration Procedures 19 years and over,278,2171,,690,,1385,487
CZ34U,Minor Dental Procedures 18 years and under,165,1455,43,1513,,938,647
CZ34Y,Minor Dental Procedures 19 years and over,160,1662,,1670,,901,548
CZ35U,Adjustment of Dental Device 18 years and under,127,891,,363,,239,737
CZ35Y,Adjustment of Dental Device 19 years and over,131,1914,,,,,1073
CZ36U,Dental Excision or Biopsy Procedures 18 years and under,673,1912,,1792,,704,726
CZ36Y,Dental Excision or Biopsy Procedures 19 years and over,493,1649,,1545,,752,531
CZ37U,Surgical Removal of Tooth 18 years and under,841,1393,,1590,,947,885
CZ37Y,Surgical Removal of Tooth 19 years and over,360,1466,,1808,,863,549
CZ38U,Creation of Dental Impression 18 years and under,132,2856,,,,1589,966
CZ38Y,Creation of Dental Impression 19 years and over,156,1718,,2931,,,520
CZ39U,Intermediate Dental Procedures 18 years and under,161,1591,,1031,,1119,937
CZ39Y,Intermediate Dental Procedures 19 years and over,501,1589,,1397,,783,1006
CZ40U,Major Surgical Removal of Tooth 18 years and under,1002,1495,,1455,,1066,1000
CZ40Y,Major Surgical Removal of Tooth 19 years and over,586,1398,,1744,,1068,657
CZ41U,Major Dental Procedures 18 years and under,965,2341,,2108,,996,917
CZ41Y,Major Dental Procedures 19 years and over,638,1576,,1719,,921,727
CZ42U,Extraction of Multiple Teeth 18 years and under,673,1449,,1582,,985,655
CZ42Y,Extraction of Multiple Teeth 19 years and over,563,1695,,1778,,948,681
DZ01Z,Lung Transplant,34530,53980,3038,31471,626,6269,
DZ02A,Complex Thoracic Procedures with Major CC,9528,9441,375,9015,318,3578,
DZ02B,Complex Thoracic Procedures with Intermediate CC,7566,7502,356,7205,333,2709,1724
DZ02C,Complex Thoracic Procedures without CC,6394,6542,300,6037,456,3254,948
DZ03A,Major Thoracic Procedures with CC,3846,4295,270,6274,304,2391,962
DZ03B,Major Thoracic Procedures without CC,2145,3870,281,4025,278,1681,863
DZ04A,Intermediate Thoracic Procedures with CC,3398,4075,320,4560,256,1440,981
DZ04B,Intermediate Thoracic Procedures without CC,1975,3432,314,4026,315,1300,895
DZ06Z,Minor Thoracic Procedures,647,999,,3038,,574,607
DZ07A,Fibre Optic Bronchoscopy 19 years and over,613,881,,1201,,593,607
DZ07B,Fibre Optic Bronchoscopy 18 years and under,1678,2986,,7821,,1220,1198
DZ08Z,Rigid Bronchoscopy,1502,1727,,1659,,1359,1212
DZ09A,Pulmonary Embolus with Major CC,1930,2409,305,2332,221,522,375
DZ09B,Pulmonary Embolus with Intermediate CC,1374,1740,267,1807,225,481,412
DZ09C,Pulmonary Embolus without CC,884,919,237,1407,240,463,414
DZ10A,Lung Abscess-Empyema with Major CC,3414,4454,265,3737,224,606,334
DZ10B,Lung Abscess-Empyema with Intermediate CC,2680,3196,251,3234,232,561,350
DZ10C,Lung Abscess-Empyema without CC,2174,2814,221,2863,200,812,367
DZ11A,Lobar Atypical or Viral Pneumonia with Major CC,2079,3190,259,2433,228,494,438
DZ11B,Lobar Atypical or Viral Pneumonia with Intermediate CC,1474,3072,324,1850,227,452,441
DZ11C,Lobar Atypical or Viral Pneumonia without CC,861,2116,341,1267,242,427,325
DZ12A,Bronchiectasis with CC,1956,4067,375,2316,257,470,469
DZ12B,Bronchiectasis without CC,864,2243,234,1714,250,416,453
DZ14A,Pulmonary Pleural or Other Tuberculosis with CC,2540,3481,254,3112,290,574,742
DZ14B,Pulmonary Pleural or Other Tuberculosis without CC,1736,2092,313,2409,261,543,551
DZ15A,Asthma with Intubation with Major CC,2067,3046,230,2489,323,740,
DZ15B,Asthma with Intubation with Intermediate CC,1429,2177,,2033,,489,
DZ15C,Asthma with Intubation without CC,815,,,1100,,425,
DZ15D,Asthma without Intubation with Major CC,1267,3669,304,1527,226,454,538
DZ15E,Asthma without Intubation with Intermediate CC,900,3381,320,1281,229,413,494
DZ15F,Asthma without Intubation without CC,618,1827,328,1029,234,390,393
DZ16A,Pleural Effusion with Major CC,2085,2487,250,2531,226,504,431
DZ16B,Pleural Effusion with Intermediate CC,1507,2361,261,1875,235,489,433
DZ16C,Pleural Effusion without CC,1202,2007,255,1554,242,468,440
DZ17A,Respiratory Neoplasms with Major CC,2115,2421,259,2717,233,517,403
DZ17B,Respiratory Neoplasms with Intermediate CC,1467,1775,290,2038,234,486,580
DZ17C,Respiratory Neoplasms without CC,864,1357,267,1738,283,559,410
DZ18Z,Sleeping Disorders Affecting Breathing,892,682,430,999,274,498,409
DZ19A,Other Respiratory Diagnoses with Major CC,941,1829,338,1275,243,440,481
DZ19B,Other Respiratory Diagnoses with Intermediate CC,744,1814,352,1161,234,418,506
DZ19C,Other Respiratory Diagnoses without CC,587,1563,295,1046,242,397,468
DZ20Z,Pulmonary Oedema,1542,2726,282,1950,221,490,300
DZ21A,Chronic Obstructive Pulmonary Disease or Bronchitis with length of stay 1 day or less discharged home,425,839,,669,,411,476
DZ21B,Chronic Obstructive Pulmonary Disease or Bronchitis with Intubation with Major CC,2242,,,2508,203,744,
DZ21C,Chronic Obstructive Pulmonary Disease or Bronchitis with Intubation with Intermediate CC,2540,4118,,2497,174,692,
DZ21D,Chronic Obstructive Pulmonary Disease or Bronchitis with Intubation without CC,1475,,,2876,,75,
DZ21E,Chronic Obstructive Pulmonary Disease or Bronchitis with NIV without Intubation with Major CC,2342,4143,278,2283,224,559,
DZ21F,Chronic Obstructive Pulmonary Disease or Bronchitis with NIV without Intubation with Intermediate CC,2134,2903,357,2110,228,617,
DZ21G,Chronic Obstructive Pulmonary Disease or Bronchitis with NIV without Intubation without CC,1626,1638,,1640,203,484,
DZ21H,Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation with Major CC,2009,3183,319,1985,218,527,
DZ21J,Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation with Intermediate CC,1625,3032,293,1576,221,489,359
DZ21K,Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation without CC,1275,2679,287,1275,231,443,
DZ22A,Unspecified Acute Lower Respiratory Infection with Major CC,1715,3055,262,2123,216,464,427
DZ22B,Unspecified Acute Lower Respiratory Infection with Intermediate CC,1172,2662,317,1580,225,429,704
DZ22C,Unspecified Acute Lower Respiratory Infection without CC,657,1524,295,1137,251,412,410
DZ23A,Bronchopneumonia with Major CC,2159,3734,240,2600,225,467,338
DZ23B,Bronchopneumonia with Intermediate CC,1553,2931,273,1935,233,419,491
DZ23C,Bronchopneumonia without CC,943,1120,387,1310,278,424,219
DZ24A,Inhalation Lung Injury or Foreign Body with Major CC,2669,3895,253,3180,216,483,563
DZ24B,Inhalation Lung Injury or Foreign Body with Intermediate CC,1992,3087,224,2420,228,452,1187
DZ24C,Inhalation Lung Injury or Foreign Body without CC,1368,1331,285,1714,262,492,367
DZ25A,Fibrosis or Pneumoconiosis with CC,1694,2792,352,2153,229,444,606
DZ25B,Fibrosis or Pneumoconiosis without CC,1150,2626,74,1622,240,453,605
DZ26A,Pneumothorax or Intrathoracic Injuries with CC,1773,2072,277,2097,259,596,598
DZ26B,Pneumothorax or Intrathoracic Injuries without CC,951,1238,254,1307,243,471,377
DZ27A,Respiratory Failure with Intubation with Major CC,2420,3630,231,3082,179,854,
DZ27B,Respiratory Failure with Intubation with Intermediate CC,2335,6067,1045,2480,8,558,
DZ27C,Respiratory Failure with Intubation without CC,310,,,553,,249,
DZ27D,Respiratory Failure without Intubation with Major CC,1988,1530,247,2378,233,476,508
DZ27E,Respiratory Failure without Intubation with Intermediate CC,1345,1073,322,1959,226,456,487
DZ27F,Respiratory Failure without Intubation without CC,1043,1178,411,1644,234,596,476
DZ28Z,Pleurisy,527,1397,275,951,290,388,625
DZ29A,Granulomatous Allergic Alveolitis or Autoimmune Lung Disease with CC,1431,2481,361,2559,241,517,505
DZ29B,Granulomatous Allergic Alveolitis or Autoimmune Lung Disease without CC,735,1771,337,1711,328,674,521
DZ30Z,Chest Physiotherapy,288,1116,,973,,459,396
DZ31Z,Complex Lung Function Exercise Testing,241,864,,,,,512
DZ32Z,Simple Lung Function Exercise Testing,160,672,,,,422,682
DZ33Z,Hyperbaric Oxygen Treatment,184,,,,,319,
DZ34Z,Complex Bronchodilator Studies,55,,,,,,252
DZ35Z,Simple Bronchodilator Studies,203,,,,,600,419
DZ36Z,Bronchial Reactivity Studies,142,413,,,,379,178
DZ37A,Non-Invasive Ventilation Support Assessment 19 years and over,444,1026,,1108,,524,707
DZ37B,Non-Invasive Ventilation Support Assessment 18 years and under,1557,3816,,2992,,1050,783
DZ38Z,Oxygen Assessment and Monitoring,174,369,,,,543,320
DZ39Z,Complex Gas Exchange Studies,167,1721,,2413,,,701
DZ40Z,Simple Gas Exchange Studies,152,350,,,,296,1095
DZ41Z,Smoking Cessation Support,140,,,,,302,
DZ42Z,TB Nurse Support,182,1114,,785,,351,454
DZ43Z,Complex Airflow Studies,126,,,,,,1085
DZ44Z,Simple Airflow Studies,159,584,,196,,426,800
DZ45Z,Lung Volume Studies,95,,,,,,
DZ46Z,Respiratory Muscle Strength Studies,108,263,,,,,
DZ48Z,Respiratory Drive Studies,109,,,,,,
DZ49Z,Respiratory Nurse and AHP Education or Support,162,,,,,337,414
DZ50Z,Respiratory Sleep Study,657,723,,4420,,660,474
DZ51Z,Complex Tuberculosis,19432,20698,392,18338,268,,
DZ52Z,Full Pulmonary Function Testing,146,,,,,,277
EA01Z,Heart and Lung Transplant,64650,52965,,92599,,1120,
EA02Z,Heart Transplant,41712,42932,,47229,1197,47296,1093
